Player's Name,Run,Ball,Strike Rate,4's,6's,Ct_St,Matches Played
A Bains,0,0,0,0,0,0,0
AB de Villiers,216,163,132.5,12,16,6,9
Aditya Tare,18,23,78.3,3,0,0,3
Ajinkya Rahane,382,323,118.3,35,9,6,16
Ambati Rayudu,91,78,116.7,7,3,3,5
Anmolpreet Singh,0,0,0,0,0,0,0
Aryaman Birla,0,0,0,0,0,0,0
Chris Gayle,200,163,122.7,15,14,2,9
Chris Lynn,295,163,181,25,19,2,7
Colin Munro,0,0,0,0,0,0,0
D Padikkal,0,0,0,0,0,0,0
David Miller,83,80,103.8,4,4,3,5
David Warner,641,452,141.8,63,26,10,14
Deepak Hooda,78,52,150,5,4,5,10
Dhruv Shorey,0,0,0,0,0,0,0
Dinesh Karthik,361,259,139.4,30,11,8,14
Evin Lewis,0,0,0,0,0,0,0
Faf du Plessis,8,7,114.3,1,0,0,2
H Klaasen ,0,0,0,0,0,0,0
Hanuma Vihari,0,0,0,0,0,0,0
Himmat Singh,0,0,0,0,0,0,0
Ishan Kishan,277,206,134.5,29,13,3,11
J Bairstow ,0,0,0,0,0,0,0
Joe Denly,0,0,0,0,0,0,0
Jos Buttler,272,177,153.7,27,16,1,10
Kane Williamson,256,169,151.5,20,10,1,7
Karun Nair,281,226,124.3,39,6,2,14
Lokesh Rahul,0,0,0,0,0,0,0
M Vijay,0,0,0,0,0,0,0
Manan Vohra,229,159,144,23,9,2,11
Mandeep Singh,188,177,106.2,21,4,6,11
Manish Pandey,396,308,128.6,28,12,8,14
Martin Guptill,132,88,150,17,5,6,7
Mayank Agarwal,26,27,96.3,3,0,2,3
MS Dhoni,290,250,116,15,16,13,16
N Jagadeesan ,0,0,0,0,0,0,0
N Pooran ,0,0,0,0,0,0,0
Nikhil Naik,0,0,0,0,0,0,0
Parthiv Patel,395,293,134.8,49,8,8,16
Prashant Chopra,0,0,0,0,0,0,0
Prithvi Shaw,0,0,0,0,0,0,0
Q de Kock ,0,0,0,0,0,0,0
R Gaikwad,0,0,0,0,0,0,0
Rahul Tripathi,391,267,146.4,43,17,5,14
Ricky Bhui,0,0,0,0,0,0,0
Rinku Singh,0,0,0,0,0,0,0
Rishabh Pant,366,221,165.6,28,24,11,14
Robin Uthappa,388,235,165.1,36,21,15,14
Rohit Sharma,333,273,122,31,9,10,17
S Goswami ,0,0,0,0,0,0,0
Sam Billings,138,104,132.7,19,1,4,6
Sanju Samson,386,273,141.4,32,19,4,14
Sarfaraz Khan,0,0,0,0,0,0,0
Shikhar Dhawan,479,376,127.4,53,9,7,14
Shimron Hetmyer,0,0,0,0,0,0,0
Shreyas Iyer,338,243,139.1,36,10,3,12
Shubman Gill,0,0,0,0,0,0,0
Siddhesh Lad,0,0,0,0,0,0,0
Simran Singh ,0,0,0,0,0,0,0
Steven Smith,472,387,122,38,12,7,15
Suresh Raina,442,307,144,42,13,4,14
Suryakumar Yadav,105,88,119.3,8,3,3,10
Virat Kohli,308,252,122.2,23,11,5,10
W Saha ,0,0,0,0,0,0,0
Yuvraj Singh,252,177,142.4,30,8,3,12