Playerâ€™s Name,2018,2017,2016,2015,2013,2012,2011,2010,2009,2008
A Bains,0,0,0,0,0,0,0,0,0,0
AB de Villiers,89,75,98,98,90,88,88,88,100,91
Aditya Tare,52,64,54,71,79,0,86,86,0,0
Ajinkya Rahane,81,90,95,99,95,98,0,0,89,90
Ambati Rayudu,98,68,86,86,84,90,97,97,0,0
Anmolpreet Singh,0,0,0,0,0,0,0,0,0,0
Aryaman Birla,50,0,0,0,0,0,0,0,0,0
Chris Gayle,80,74,76,96,100,100,95,95,92,4
Chris Lynn,90,84,57,0,73,81,0,0,0,0
Colin Munro,59,0,60,0,0,0,0,0,0,0
D Padikkal,0,0,0,0,0,0,0,0,0,0
David Miller,61,67,70,90,93,82,0,0,0,0
David Warner,49,100,99,100,92,87,93,93,90,0
Deepak Hooda,62,66,68,78,0,0,0,0,0,0
Dhruv Shorey,54,0,0,0,0,0,0,0,0,0
Dinesh Karthik,93,88,88,76,96,86,92,92,95,92
Evin Lewis,82,0,0,0,0,0,0,0,0,0
Faf du Plessis,68,63,75,93,74,94,0,0,0,0
H Klaasen ,0,0,0,0,0,0,0,0,0,0
Hanuma Vihari,0,0,0,73,86,0,0,0,0,0
Himmat Singh,0,0,0,0,0,0,0,0,0,0
Ishan Kishan,74,81,62,0,0,0,0,0,0,0
J Bairstow ,0,0,0,0,0,0,0,0,0,0
Joe Denly,0,0,0,0,0,0,0,0,0,0
Jos Buttler,97,79,80,0,0,0,0,0,0,0
Kane Williamson,100,78,67,72,0,0,0,0,0,0
Karun Nair,77,82,89,81,76,0,0,0,0,0
Lokesh Rahul,0,62,93,77,77,0,0,0,0,0
M Vijay,55,0,0,0,0,0,0,0,0,0
Manan Vohra,58,76,69,74,82,0,0,0,0,0
Mandeep Singh,72,73,52,80,87,96,85,85,0,0
Manish Pandey,75,96,78,84,80,83,90,90,91,89
Martin Guptill,0,70,63,0,0,0,0,0,0,0
Mayank Agarwal,65,65,58,83,78,85,0,0,0,0
MS Dhoni,88,83,83,92,91,89,94,94,97,99
N Jagadeesan ,0,0,0,0,0,0,0,0,0,0
N Pooran ,0,0,0,0,0,0,0,0,0,0
Nikhil Naik ,0,61,56,0,0,0,0,0,0,0
Parthiv Patel,67,95,72,88,88,84,87,87,88,94
Prashant Chopra,53,0,0,0,0,0,0,0,0,0
Prithvi Shaw,71,0,0,0,0,0,0,0,0,0
Q de Kock ,0,0,0,0,0,0,0,0,0,0
R Gaikwad,0,0,0,0,0,0,0,0,0,0
Rahul Tripathi,70,94,0,0,0,0,0,0,0,0
Ricky Bhui,48,60,51,0,0,0,0,0,0,0
Rinku Singh,56,59,0,0,0,0,0,0,0,0
Rishabh Pant,99,89,74,0,0,0,0,0,0,0
Robin Uthappa,79,93,91,91,94,95,98,98,93,96
Robin Uthappa,78,86,96,95,97,97,99,99,96,100
Rohit Sharma,76,0,0,0,0,0,0,0,87,0
Sam Billings,64,72,66,0,0,0,0,0,0,0
Sam Billings,63,91,85,82,83,0,0,0,0,0
Sanju Samson,85,58,64,75,0,0,0,0,0,0
Sanju Samson,84,99,97,89,89,99,89,89,86,98
Sarfaraz Khan,57,0,0,0,0,0,0,0,0,0
Shikhar Dhawan,91,87,59,94,0,0,0,0,0,0
Shreyas Iyer,83,0,0,0,0,0,0,0,0,0
Shubman Gill,69,57,50,0,0,0,0,0,0,0
Siddhesh Lad,47,0,0,0,0,0,0,0,0,0
Steven Smith,46,98,81,87,81,92,30,0,0,0
Suresh Raina,86,97,94,0,98,91,100,100,99,97
Suryakumar Yadav,94,69,73,79,75,0,0,0,0,0
Virat Kohli,95,85,100,97,99,93,96,96,94,93
W Saha ,0,0,0,0,0,0,0,0,0,0
Yuvraj Singh,60,77,77,85,85,0,91,91,98,95