Score,Playerâ€™s Name,Balls Bowled,Runs Scored,Economy,Wickets,Ct_St,Matches Played
0,Adam Milne,0,0,0,0,0,0
97,Amit Mishra,282,377,8.02127659574468,13,1,14
0,Andrew Tye,0,0,0,0,0,0
0,Ankit Rajpoot,0,0,0,0,0,0
0,Anrich Nortje,0,0,0,0,0,0
0,Arshdeep Singh,0,0,0,0,0,0
0,Avesh Khan,0,0,0,0,0,0
0,B Ayyappa,0,0,0,0,0,0
0,Barinder Sran,0,0,0,0,0,0
0,Basil Thampi,0,0,0,0,0,0
96,Bhuvneshwar Kumar,234,281,7.2051282051282,8,0,11
0,Billy Stanlake,0,0,0,0,0,0
0,Deepak Chahar,0,0,-,0,0,0
93,Dhawal Kulkarni,48,64,8,6,2,2
95,Harbhajan Singh,324,384,7.11111111111111,6,7,17
0,Hardus Vilojen,0,0,0,0,0,0
0,Harry Gurney,0,0,0,0,0,0
0,Imran Tahir,0,0,0,0,0,0
0,Ish Sodhi,0,0,0,0,0,0
0,Ishant Sharma,0,0,0,0,0,0
0,Jason Behrendorff,0,0,0,0,0,0
0,Jasprit Bumrah,0,0,0,0,0,0
0,Jayant Yadav,0,0,0,0,0,0
92,Jaydev Unadkat,18,32,10.6666666666667,0,0,1
0,Kagiso Rabada,0,0,0,0,0,0
0,Kamlesh Nagarkoti,0,0,0,0,0,0
0,Karn Sharma,0,0,0,0,0,0
0,Khaleel Ahmed,0,0,0,0,0,0
0,KM Asif,0,0,0,0,0,0
0,Kuldeep Yadav,0,0,0,0,0,0
0,Kulwant Khejroliya,0,0,0,0,0,0
100,Lasith Malinga,333,350,6.30630630630631,22,6,14
0,Lockie Ferguson,0,0,0,0,0,0
0,Lungi Ngidi,0,0,0,0,0,0
0,M Ashwin,0,0,0,0,0,0
0,M Lomror,0,0,0,0,0,0
0,M Markande,0,0,0,0,0,0
0,M McClenaghan,0,0,0,0,0,0
0,Mitchell Santner,0,0,0,0,0,0
0,Mohammed Shami,0,0,0,0,0,0
0,Mohammed Siraj,0,0,0,0,0,0
0,Mohit Sharma,0,0,0,0,0,0
0,Monu Kumar,0,0,0,0,0,0
0,Mujeeb,0,0,0,0,0,0
0,N Coulter-Nile,0,0,0,0,0,0
0,Nathu Singh,0,0,0,0,0,0
0,Navdeep Saini,0,0,0,0,0,0
0,Oshane Thomas,0,0,0,0,0,0
98,Piyush Chawla,342,419,7.35087719298246,16,3,16
0,Prasidh Krishna,0,0,0,0,0,0
0,Prithvi Raj Yarra,0,0,0,0,0,0
0,R Ashwin,0,0,0,0,0,0
0,Rahul Chahar,0,0,0,0,0,0
0,Rahul Tewatia,0,0,0,0,0,0
0,Rashid Khan,0,0,0,0,0,0
0,Rasikh Dar,0,0,0,0,0,0
0,S Lamichhane,0,0,0,0,0,0
0,S Nadeem,0,0,0,0,0,0
0,S. Midhun,0,0,0,0,0,0
0,Sandeep Sharma,0,0,0,0,0,0
0,Shardul Thakur,0,0,0,0,0,0
0,Shivam Mavi,0,0,0,0,0,0
0,Siddarth Kaul,0,0,0,0,0,0
0,T Natarajan,0,0,0,0,0,0
0,Tim Southee,0,0,0,0,0,0
0,Trent Boult,0,0,0,0,0,0
99,Umesh Yadav,342,425,7.45614035087719,18,2,16
94,Varun Aaron,162,208,7.7037037037037,6,1,7
0,Y Chahal,0,0,0,0,0,0